Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF,,,,,,,,,,
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Humidity [%],Temp,Distance [mm],Dist_cor,
23/12/2020 21:20,968.11,73.56,2.45,2.75,4.78,89.23,2.27,736,736,
23/12/2020 21:25,967.97,82.36,2.3,3,4.8,85.31,3.09,737,737,
23/12/2020 21:30,967.31,81.08,2.58,3.25,4.8,88.6,2.24,733,733,
23/12/2020 21:35,967.27,77.74,2.46,3,4.8,89.52,2.17,731,731,
23/12/2020 21:40,966.94,74.28,2.29,2.75,4.8,90.3,2.01,732,732,
23/12/2020 21:45,966.93,71.12,2.06,2.75,4.8,91.44,1.85,730,730,
23/12/2020 21:50,966.89,67.65,1.84,2.5,4.8,92.13,1.8,733,733,
23/12/2020 21:55,966.83,64.56,1.7,2.25,4.8,91.89,2,734,734,
23/12/2020 22:00,966.73,61.97,1.65,2.25,4.8,92.14,1.86,734,734,
23/12/2020 22:05,966.86,59.83,1.57,2.25,4.8,92.57,1.86,731,731,
23/12/2020 22:10,966.84,58.13,1.55,2.25,4.8,93.1,1.94,735,735,
23/12/2020 22:15,966.78,56.9,1.55,2,4.79,93.81,1.93,737,737,
23/12/2020 22:20,966.55,55.96,1.52,2,4.76,93.08,1.77,733,733,
23/12/2020 22:25,966.46,55.38,1.49,2,4.78,93.26,1.84,738,738,
23/12/2020 22:30,966.33,54.8,1.46,2,4.79,92.4,1.78,740,740,
23/12/2020 22:35,966.16,54.36,1.43,2,4.79,91.39,1.9,735,735,
23/12/2020 22:40,966.12,54.43,1.45,2,4.8,90.41,2.05,738,738,
23/12/2020 22:45,965.96,54.54,1.45,2,4.79,90.5,1.94,738,738,
23/12/2020 22:50,966.12,54.58,1.41,2,4.8,90.53,1.81,737,737,
23/12/2020 22:55,965.9,54.69,1.37,2,4.8,89.63,2,737,737,
23/12/2020 23:00,965.69,54.78,1.33,2,4.8,90.28,1.77,736,736,
23/12/2020 23:05,965.75,54.88,1.3,1.75,4.8,89.28,2.1,737,737,
23/12/2020 23:10,965.63,54.99,1.32,2,4.8,89.47,1.92,735,735,
