Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC],PresOB [mBar],RH_OB [%],TempOB [C],Temp RTC [C],Bat [V],Humidity [%],Temp Atmos [C],Distance [mm],
2020/02/23 22:01:13,949.59,50.65,8.94,9.50,4.80,59.64,8.51,669,
2020/02/23 22:06:12,949.67,44.92,8.71,9.25,4.80,54.08,9.05,623,
2020/02/23 22:11:12,949.71,33.92,8.60,9.25,4.80,52.40,9.41,657,
2020/02/23 22:16:12,949.59,28.56,8.65,9.25,4.80,53.53,9.09,714,
2020/02/23 22:21:12,949.43,19.57,8.49,9.00,4.80,57.42,8.33,634,
2020/02/23 22:26:12,949.66,18.68,8.26,8.75,4.80,52.80,9.06,636,
2020/02/23 22:31:12,949.59,18.64,8.03,8.50,4.79,56.40,8.74,654,
2020/02/23 22:36:12,949.67,16.96,7.79,8.25,4.80,56.07,8.39,665,
2020/02/23 22:41:12,949.39,16.42,7.57,8.00,4.80,58.24,8.10,645,
2020/02/23 22:46:12,949.43,15.68,7.29,8.00,4.80,59.29,8.01,641,
2020/02/23 22:51:12,949.45,15.03,7.00,7.50,4.80,60.22,7.82,637,
2020/02/23 22:56:12,949.55,14.71,6.81,7.50,4.80,58.90,7.95,634,
2020/02/23 23:01:12,949.47,14.51,6.69,7.25,4.80,58.38,8.13,641,
2020/02/23 23:06:12,949.45,14.16,6.60,7.00,4.80,60.04,7.76,658,
2020/02/23 23:11:12,949.38,13.88,6.50,7.00,4.80,60.62,7.94,628,
2020/02/23 23:16:12,949.10,13.65,6.40,7.00,4.80,61.15,7.57,655,
2020/02/23 23:21:12,948.98,13.85,6.47,7.00,4.80,58.62,8.14,637,
2020/02/23 23:26:12,949.36,13.47,6.52,7.00,4.80,59.61,7.85,632,
2020/02/23 23:31:12,948.99,13.45,6.58,7.00,4.80,58.38,8.14,639,
2020/02/23 23:36:12,949.01,13.34,6.64,7.00,4.80,56.94,8.58,663,
2020/02/23 23:41:12,948.72,13.54,6.81,7.50,4.80,58.20,8.10,680,
2020/02/23 23:46:12,948.53,13.01,6.83,7.50,4.80,58.82,8.02,673,
2020/02/23 23:51:12,948.82,12.51,6.69,7.25,4.80,58.13,8.10,649,
2020/02/23 23:56:12,948.99,12.52,6.65,7.25,4.80,57.79,8.12,662,
