Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Humidity [%], Temp Atmos [C],Distace [mm], 
2020/02/23 20:24:22,950.07,46.92,9.53,10.00,4.78,57.21,9.79,525,
2020/02/23 20:29:21,950.10,28.87,9.86,10.50,4.78,54.07,10.63,521,
2020/02/23 20:34:21,949.80,19.46,10.14,10.75,4.78,54.61,10.31,538,
2020/02/23 20:39:21,949.84,14.95,9.80,10.25,4.78,54.59,9.76,528,
2020/02/23 20:44:21,949.68,12.54,9.70,10.25,4.78,54.21,9.66,530,
2020/02/23 20:49:21,948.88,11.23,9.55,10.25,4.79,54.61,10.10,532,
2020/02/23 20:54:21,949.60,10.64,9.17,9.75,4.78,53.36,10.01,528,
2020/02/23 20:59:21,949.64,10.24,8.86,9.50,4.78,54.22,10.17,539,
2020/02/23 21:04:21,949.43,9.86,8.59,9.25,4.78,56.10,9.55,533,
2020/02/23 21:09:21,949.86,9.53,8.70,9.25,4.79,55.27,9.21,544,
2020/02/23 21:14:21,949.67,9.19,8.65,9.25,4.78,56.45,9.02,543,
2020/02/23 21:19:21,949.81,8.92,8.69,9.25,4.78,56.63,9.32,544,
2020/02/23 21:24:21,949.90,8.64,8.93,9.50,4.79,56.15,9.50,549,
2020/02/23 21:29:21,949.67,8.44,9.04,9.50,4.79,57.39,8.90,553,
2020/02/23 21:34:21,949.98,8.20,9.05,9.75,4.79,59.17,8.55,537,
2020/02/23 21:39:21,949.91,8.06,9.01,9.75,4.78,58.36,8.94,550,
2020/02/23 21:44:21,949.52,7.93,8.90,9.50,4.78,56.79,9.17,555,
2020/02/23 21:49:21,949.64,7.81,8.75,9.50,4.79,59.83,8.68,557,
2020/02/23 21:54:21,950.10,7.65,8.63,9.25,4.79,59.94,8.68,545,
2020/02/23 21:59:21,949.55,7.55,8.87,9.50,4.79,58.83,9.03,569,
2020/02/23 22:04:21,949.84,7.47,8.90,9.50,4.79,58.40,8.60,560,
2020/02/23 22:09:21,949.54,7.44,8.66,9.25,4.79,56.85,9.18,547,
2020/02/23 22:14:21,949.39,7.47,8.52,9.00,4.79,56.30,8.75,557,
2020/02/23 22:19:21,949.45,7.51,8.25,8.75,4.79,57.12,8.73,563,
2020/02/23 22:24:21,949.62,7.52,7.89,8.50,4.79,57.90,8.55,567,
2020/02/23 22:29:21,949.47,7.49,7.64,8.25,4.79,58.86,8.23,561,
2020/02/23 22:34:21,949.52,7.48,7.29,8.00,4.79,58.23,8.40,559,
2020/02/23 22:39:21,949.43,7.47,7.12,7.75,4.79,59.99,8.40,555,
2020/02/23 22:44:21,949.30,7.42,6.88,7.50,4.79,60.66,7.96,560,
2020/02/23 22:49:21,949.44,7.40,6.58,7.25,4.79,61.24,8.01,561,
2020/02/23 22:54:21,949.42,7.38,6.31,7.00,4.79,62.41,7.68,564,
2020/02/23 22:59:21,949.31,7.40,6.17,6.75,4.79,60.47,8.21,560,
2020/02/23 23:04:21,949.44,7.39,6.08,6.75,4.79,61.66,7.79,599,
2020/02/23 23:09:21,949.40,7.34,5.98,6.50,4.79,62.37,7.63,573,
2020/02/23 23:14:21,949.14,7.37,5.90,6.50,4.79,62.16,7.84,579,
2020/02/23 23:19:21,949.30,7.40,5.89,6.50,4.79,59.76,8.51,567,
2020/02/23 23:24:21,949.07,7.39,5.95,6.50,4.79,62.23,7.81,567,
2020/02/23 23:29:21,949.17,7.35,5.96,6.50,4.79,59.09,8.38,645,
2020/02/23 23:34:21,948.90,7.36,6.04,6.50,4.79,59.50,8.29,583,
2020/02/23 23:39:21,948.64,7.37,6.19,6.75,4.79,57.81,8.93,582,
2020/02/23 23:44:21,948.80,7.32,6.31,7.00,4.79,59.55,8.53,587,
2020/02/23 23:49:21,948.77,7.26,6.30,7.00,4.79,58.36,8.82,583,
2020/02/23 23:54:21,948.97,7.25,6.36,7.00,4.79,59.13,8.53,584,
2020/02/23 23:59:21,948.75,7.23,6.34,7.00,4.79,59.51,8.17,584,
2020/02/24 00:04:21,948.85,7.24,6.26,6.75,4.79,58.56,8.68,589,
2020/02/24 00:09:21,948.78,7.20,6.21,7.00,4.79,57.66,8.84,589,
2020/02/24 00:14:21,948.47,7.18,6.18,6.75,4.79,59.88,8.34,595,
2020/02/24 00:19:21,948.66,7.23,6.20,6.75,4.79,56.85,9.02,589,
2020/02/24 00:24:21,948.36,7.27,6.44,7.00,4.79,56.82,8.80,585,
2020/02/24 00:29:21,948.17,7.31,6.69,7.25,4.79,54.96,9.01,589,
2020/02/24 00:34:21,948.15,7.19,6.70,7.25,4.79,57.45,8.94,619,
2020/02/24 00:39:21,948.01,7.19,6.71,7.25,4.79,57.27,8.42,593,
2020/02/24 00:44:21,947.96,7.13,6.64,7.25,4.79,57.59,8.77,573,
2020/02/24 00:49:21,948.24,7.13,6.50,7.25,4.79,57.66,8.86,579,
2020/02/24 00:54:21,948.00,7.11,6.43,7.00,4.79,60.75,8.20,573,
2020/02/24 00:59:21,947.86,7.09,6.18,6.75,4.79,58.48,8.61,589,
2020/02/24 01:04:21,947.88,7.14,6.06,6.75,4.79,57.68,8.79,590,
2020/02/24 01:09:21,948.11,7.19,6.22,6.75,4.79,57.59,8.68,590,
