Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC],PresOB [mBar],RH_OB [%],TempOB [C],Temp RTC [C],Bat [V],R_u [deg],P_u [deg],UVA_u,UVB_u,White_u,Vis_u [lx],IR_S_u,IR_M_u,PyroT_u [C],R_d [deg],P_d [deg],UVA_d,UVB_d,White_d,Vis_d [lx],IR_S_d,IR_M_d,PyroT_d [C],IR_Long [mV],IR_Long [C],PyrgT [C],NumTicks [Cnt],Wind direction [degrees],Humidity [%],Temp Atmos [C],Distace [mm],Rain bucket tips [0.01in],
2020/02/21 18:25:18,997.33,32.31,19.04,20.00,4.74,6.62,1.13,482,132608,10394,0.00,0.32,0.41,26.87,9.78,6.58,16,12544,2541,0.00,0.06,0.05,26.50,915.88,26.04,22.65,-9999,189.97,40.08,16.71,523,0,
2020/02/21 18:30:17,997.08,20.22,20.70,21.75,4.74,8.13,1.98,478,130816,10217,0.00,0.31,0.40,29.02,12.09,6.68,-267,13056,2556,0.00,0.05,0.05,26.19,899.88,25.02,22.71,678,197.01,40.05,16.83,1053,0,
2020/02/21 18:35:19,997.10,15.43,20.82,21.75,4.74,1.84,0.22,470,129536,10159,0.00,0.31,0.40,29.55,13.89,7.70,-265,13056,2638,0.00,0.05,0.05,26.72,907.88,25.65,22.77,656,240.02,39.61,16.95,1020,0,
2020/02/21 18:40:21,997.21,13.98,20.77,21.75,4.74,7.02,0.91,476,131072,10233,0.00,0.31,0.40,29.75,9.92,7.06,17,12544,2619,0.00,0.06,0.05,27.16,899.63,25.03,23.30,630,219.30,40.32,16.89,969,0,
2020/02/21 18:45:23,997.00,13.17,20.70,21.50,4.74,8.36,0.68,473,130304,10188,0.00,0.31,0.40,29.85,8.85,6.83,14,11008,2164,0.00,0.05,0.04,27.46,897.50,24.87,23.06,601,182.93,39.72,16.50,9999,0,
2020/02/21 18:50:25,996.85,12.53,20.48,21.50,4.74,8.04,0.69,442,121600,10072,0.00,0.28,0.37,29.46,9.30,6.39,16,12032,2372,0.00,0.05,0.04,27.51,907.88,25.68,21.92,668,145.00,40.66,15.89,970,0,
2020/02/21 18:55:27,996.98,12.08,20.12,21.00,4.74,7.07,0.69,460,126976,10212,0.00,0.30,0.38,29.19,9.47,7.02,18,12800,2695,0.00,0.06,0.05,27.35,920.13,26.58,22.02,497,239.63,41.86,15.74,964,0,
2020/02/21 19:00:29,997.07,12.02,19.97,21.00,4.74,7.07,0.68,453,124928,10075,0.00,0.29,0.38,29.21,9.55,6.58,19,12544,2672,0.00,0.06,0.05,27.32,921.38,26.59,23.04,402,174.72,40.48,16.90,1189,0,
2020/02/21 19:05:31,996.68,11.92,20.16,21.25,4.74,7.10,0.91,443,122624,9975,0.00,0.29,0.37,29.26,9.36,7.01,18,12800,2642,0.00,0.06,0.05,27.47,910.13,26.08,22.71,584,185.67,39.78,16.79,966,0,
2020/02/21 19:10:33,996.66,11.62,20.20,21.00,4.74,6.87,0.91,437,121088,9896,0.00,0.28,0.37,29.05,9.55,6.83,17,12800,2628,0.00,0.06,0.05,27.44,920.88,26.61,22.04,751,145.40,40.91,16.46,958,0,
