Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Anemometer revolutions [number],
2020/02/20 12:05:24,998.08,21.80,26.15,27.00,2.76,1319,
2020/02/20 12:05:30,998.08,21.74,26.21,27.00,2.77,0,
2020/02/20 12:05:35,998.07,21.83,26.08,27.00,2.76,180,
2020/02/20 12:05:40,998.12,21.85,26.06,27.00,2.76,207,
2020/02/20 12:05:45,998.10,21.84,26.03,27.00,2.76,210,
2020/02/20 12:05:50,998.08,21.83,26.00,27.00,2.76,211,
2020/02/20 12:05:55,998.05,21.84,25.98,27.00,2.77,212,
2020/02/20 12:06:00,998.06,21.82,25.96,27.00,2.76,212,
2020/02/20 12:06:05,998.14,21.79,25.93,27.00,2.76,212,
2020/02/20 12:06:10,998.07,21.76,25.92,26.75,2.76,213,
2020/02/20 12:06:15,998.08,21.79,25.90,26.75,2.76,212,
2020/02/20 12:06:20,998.10,21.86,25.88,26.75,2.76,212,
2020/02/20 12:06:25,998.07,21.95,25.86,27.00,2.76,213,
2020/02/20 12:06:30,998.11,21.99,25.85,26.75,2.76,213,
2020/02/20 12:06:35,998.03,21.91,25.83,26.75,2.77,212,
2020/02/20 12:06:40,998.12,21.86,25.82,26.75,2.76,212,
2020/02/20 12:06:45,998.07,21.86,25.80,26.75,2.76,213,
2020/02/20 12:06:50,998.06,21.89,25.79,26.75,2.76,212,
2020/02/20 12:06:55,998.05,21.93,25.79,26.75,2.77,213,
2020/02/20 12:07:00,998.10,21.96,25.77,26.75,2.76,212,
2020/02/20 12:07:05,998.03,22.12,25.75,26.75,2.76,213,
2020/02/20 12:07:10,998.09,22.21,25.74,26.75,2.77,213,
2020/02/20 12:07:15,998.07,22.27,25.73,26.75,2.76,212,
2020/02/20 12:07:20,998.01,22.15,25.72,26.75,2.76,214,
2020/02/20 12:07:25,998.09,22.13,25.71,26.75,2.76,212,
2020/02/20 12:07:30,998.06,22.07,25.70,26.75,2.76,213,
2020/02/20 12:07:35,998.08,21.96,25.70,26.75,2.76,213,
2020/02/20 12:07:40,998.10,21.92,25.69,26.75,2.76,212,
2020/02/20 12:07:45,998.04,21.94,25.69,26.75,2.77,213,
2020/02/20 12:07:50,998.07,21.93,25.68,26.75,2.77,213,
2020/02/20 12:07:55,998.12,21.93,25.67,26.50,2.76,213,
2020/02/20 12:08:00,998.10,21.94,25.67,26.75,2.76,213,
2020/02/20 12:08:05,998.13,21.95,25.66,26.75,2.76,214,
2020/02/20 12:08:10,998.09,22.05,25.65,26.75,2.76,213,
2020/02/20 12:08:15,998.07,22.00,25.64,26.75,2.76,213,
2020/02/20 12:08:20,998.13,21.97,25.64,26.75,2.76,213,
2020/02/20 12:08:25,998.11,21.98,25.62,26.75,2.76,213,
2020/02/20 12:08:30,998.11,22.00,25.62,26.75,2.77,213,
2020/02/20 12:08:35,998.12,22.01,25.61,26.50,2.76,213,
2020/02/20 12:08:40,998.12,22.01,25.60,26.50,2.76,213,
2020/02/20 12:08:45,998.13,22.01,25.60,26.75,2.76,213,
2020/02/20 12:08:50,998.07,22.06,25.59,26.50,2.76,213,
2020/02/20 12:08:55,998.08,22.08,25.59,26.50,2.76,213,
2020/02/20 12:09:00,998.07,22.10,25.58,26.50,2.76,213,
2020/02/20 12:09:05,998.13,22.22,25.58,26.50,2.77,213,
2020/02/20 12:09:10,998.09,22.21,25.57,26.50,2.76,213,
2020/02/20 12:09:15,998.09,22.12,25.57,26.50,2.76,213,
2020/02/20 12:09:20,998.03,22.11,25.56,26.50,2.76,213,
2020/02/20 12:09:25,998.07,22.13,25.55,26.50,2.76,213,
2020/02/20 12:09:30,998.04,22.16,25.55,26.50,2.76,213,
2020/02/20 12:09:35,998.04,22.15,25.54,26.50,2.76,213,
2020/02/20 12:09:40,998.10,22.14,25.54,26.50,2.76,213,
2020/02/20 12:09:45,998.07,22.13,25.53,26.50,2.77,211,
2020/02/20 12:09:50,998.07,22.17,25.53,26.50,2.77,207,
2020/02/20 12:09:55,998.08,22.18,25.52,26.50,2.76,208,
2020/02/20 12:10:00,998.07,22.28,25.52,26.50,2.76,208,
2020/02/20 12:10:05,998.07,22.31,25.51,26.50,2.76,208,
2020/02/20 12:10:10,998.06,22.53,25.50,26.50,2.76,208,
2020/02/20 12:10:15,998.07,22.87,25.48,26.50,2.76,209,
2020/02/20 12:10:20,998.07,22.78,25.47,26.50,2.77,213,
2020/02/20 12:10:25,998.05,22.99,25.47,26.50,2.76,213,
2020/02/20 12:10:30,998.07,23.15,25.46,26.50,2.76,214,
2020/02/20 12:10:35,998.10,23.03,25.46,26.50,2.76,213,
2020/02/20 12:10:40,998.04,22.96,25.46,26.50,2.76,213,
2020/02/20 12:10:45,998.03,22.94,25.45,26.50,2.76,213,
2020/02/20 12:10:50,998.09,22.90,25.46,26.50,2.76,214,
2020/02/20 12:10:55,998.05,22.78,25.44,26.50,2.76,213,
2020/02/20 12:11:00,998.04,22.68,25.44,26.50,2.76,213,
2020/02/20 12:11:05,998.08,22.65,25.43,26.50,2.76,213,
2020/02/20 12:11:10,998.05,22.69,25.44,26.50,2.76,213,
2020/02/20 12:11:15,998.07,22.68,25.43,26.50,2.77,213,
2020/02/20 12:11:20,998.04,22.68,25.43,26.50,2.76,213,
2020/02/20 12:11:25,998.00,22.60,25.42,26.50,2.77,213,
2020/02/20 12:11:30,998.02,22.46,25.42,26.50,2.76,29,
