Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], R_d [deg], P_d [deg], UVA_d, UVB_d, White_d, Vis_d [lx], IR_S_d, IR_M_d, PyroT_d [C], IR_Long [mV], IR_Long [C], PyrgT [C], NumTicks [Cnt], Wind direction [degrees],Humidity [%], Temp Atmos [C],Distace [mm], Rain bucket tips [0.01in],
2020/02/20 17:07:30,998.16,18.82,28.98,29.75,2.77,-17.15,3.52,0,0,16,0.00,0.00,0.00,26.88,-14.69,2.28,-265,5120,762,0.00,0.01,0.01,26.80,891.50,24.50,27.87,18,182.93,17.91,27.15,9999,0,
2020/02/20 17:07:49,998.12,18.52,29.05,29.75,2.76,-17.38,3.03,0,0,16,0.00,0.00,0.00,26.85,-14.47,2.05,-266,4608,761,0.00,0.01,0.01,26.77,891.63,24.52,27.89,17,182.93,17.98,27.11,9999,0,
2020/02/20 17:08:11,998.17,18.47,29.02,29.75,2.77,-17.60,3.29,0,0,16,0.00,0.00,0.00,26.85,-14.48,2.06,-265,5376,761,0.00,0.01,0.01,26.78,892.25,24.53,27.87,2,182.93,18.00,27.11,9999,0,
2020/02/20 17:08:33,998.10,18.58,28.99,29.75,2.77,-17.38,3.49,0,0,16,0.00,0.00,0.00,26.85,-14.53,2.27,-265,5376,760,0.00,0.01,0.01,26.78,892.50,24.55,27.87,0,182.93,18.03,27.12,9999,0,
2020/02/20 17:08:55,998.12,18.38,28.98,29.75,2.76,-17.24,3.04,0,0,16,0.00,0.00,0.00,26.85,-14.91,2.04,-265,5632,761,0.00,0.01,0.01,26.79,891.38,24.50,27.87,0,182.93,17.99,27.14,9999,0,
2020/02/20 17:09:17,998.14,18.38,28.94,29.75,2.77,-17.31,3.50,0,0,16,0.00,0.00,0.00,26.85,-14.91,2.27,-267,5376,761,0.00,0.01,0.01,26.80,892.75,24.58,27.87,0,182.54,18.10,27.15,1938,0,
2020/02/20 17:09:39,998.12,18.35,28.93,29.75,2.77,-17.15,2.58,0,0,16,0.00,0.00,0.00,26.85,-14.75,2.49,-265,5376,761,0.00,0.01,0.01,26.80,892.50,24.58,27.87,0,182.54,18.03,27.16,1934,0,
2020/02/20 17:10:01,998.11,18.50,28.92,29.75,2.77,-17.37,3.27,0,0,16,0.00,0.00,0.00,26.86,-14.70,2.27,-267,4608,759,0.00,0.01,0.01,26.81,891.63,24.52,27.87,0,182.54,17.93,27.19,1933,0,
2020/02/20 17:10:23,998.10,18.28,28.90,29.75,2.76,-17.32,3.04,0,0,16,0.00,0.00,0.00,26.86,-14.69,2.73,-267,5376,760,0.00,0.01,0.01,26.82,892.63,24.57,27.89,0,182.93,17.98,27.21,1937,0,
2020/02/20 17:10:45,998.14,18.68,28.90,29.75,2.77,-16.86,3.25,0,0,16,0.00,0.00,0.00,26.86,-14.47,2.04,-265,5376,760,0.00,0.01,0.01,26.83,892.38,24.54,27.87,0,182.54,18.05,27.21,1938,0,
2020/02/20 17:11:07,998.09,18.49,28.89,29.75,2.77,-17.31,3.26,0,0,16,0.00,0.00,0.00,26.87,-14.97,2.28,-265,5376,760,0.00,0.01,0.01,26.83,892.38,24.55,27.87,0,182.54,18.08,27.22,1941,0,
2020/02/20 17:11:29,998.11,18.56,28.88,29.75,2.77,-17.15,3.49,0,0,16,0.00,0.00,0.00,26.88,-14.91,2.28,-266,5632,759,0.00,0.01,0.01,26.85,891.88,24.53,27.87,0,182.54,18.15,27.25,1946,0,
2020/02/20 17:11:51,998.11,18.59,28.87,29.75,2.77,-17.16,3.28,0,0,16,0.00,0.00,0.00,26.88,-14.64,2.27,-265,5632,759,0.00,0.01,0.01,26.85,892.25,24.55,27.87,0,182.93,18.04,27.29,1938,0,
2020/02/20 17:12:13,998.08,18.57,28.86,29.50,2.77,-17.37,3.52,0,0,16,0.00,0.00,0.00,26.88,-14.69,2.05,-265,5376,759,0.00,0.01,0.01,26.86,891.88,24.52,27.87,0,182.54,18.07,27.32,1940,0,
2020/02/20 17:12:35,998.10,18.62,28.85,29.75,2.77,-17.31,3.04,0,0,16,0.00,0.00,0.00,26.88,-14.69,2.04,-267,5632,759,0.00,0.01,0.01,26.87,892.88,24.58,27.87,0,182.93,17.93,27.33,1948,0,
2020/02/20 17:12:57,998.17,18.65,28.84,29.75,2.77,-17.60,3.04,0,0,16,0.00,0.00,0.00,26.88,-14.48,2.04,-265,5632,757,0.00,0.01,0.01,26.87,891.88,24.52,27.87,0,182.54,18.09,27.36,1942,0,
2020/02/20 17:13:19,998.14,18.40,28.79,29.50,2.76,-17.31,3.03,0,0,16,0.00,0.00,0.00,26.89,-14.64,2.27,-268,5632,756,0.00,0.01,0.01,26.88,890.88,24.41,27.87,0,182.54,18.07,27.36,1942,0,
2020/02/20 17:13:41,998.10,18.42,28.75,29.50,2.77,-17.09,3.27,0,0,16,0.00,0.00,0.00,26.89,-14.69,2.04,-268,5120,757,0.00,0.01,0.01,26.89,890.88,24.45,27.86,0,182.93,17.00,27.33,1938,0,
2020/02/20 17:14:03,998.08,17.61,28.70,29.50,2.77,-17.01,3.30,0,0,16,0.00,0.00,0.00,26.89,-14.70,2.05,-267,5632,756,0.00,0.01,0.01,26.89,890.75,24.42,27.80,0,182.93,16.43,27.23,1931,0,
2020/02/20 17:14:25,998.12,17.35,28.64,29.25,2.77,-17.30,3.27,0,0,17,0.00,0.00,0.00,26.90,-14.75,1.82,-265,5632,759,0.00,0.01,0.01,26.90,891.38,24.50,27.79,0,182.54,16.05,27.11,1935,0,
2020/02/20 17:14:47,998.08,17.05,28.59,29.25,2.77,-17.01,3.26,0,0,17,0.00,0.00,0.00,26.90,-14.48,2.48,-265,5376,759,0.00,0.01,0.01,26.90,891.75,24.51,27.73,0,182.93,16.00,26.96,1941,0,
2020/02/20 17:15:09,998.04,16.73,28.48,29.25,2.76,-17.02,3.06,0,0,16,0.00,0.00,0.00,26.90,-14.47,2.51,-267,5376,755,0.00,0.01,0.01,26.90,889.38,24.30,27.70,0,182.93,15.65,26.83,1943,0,
2020/02/20 17:15:31,998.10,16.85,28.41,29.25,2.77,-17.16,3.29,0,0,16,0.00,0.00,0.00,26.90,-14.76,2.04,-265,5376,750,0.00,0.01,0.01,26.91,891.00,24.40,27.65,0,182.93,15.63,26.69,1956,0,
2020/02/20 17:15:53,998.06,16.55,28.35,29.00,2.77,-17.37,3.03,0,0,17,0.00,0.00,0.00,26.90,-14.53,2.28,-265,5376,753,0.00,0.01,0.01,26.91,889.88,24.32,27.61,0,182.54,15.56,26.60,1948,0,
2020/02/20 17:16:15,998.07,16.57,28.29,29.00,2.77,-17.38,3.03,0,0,16,0.00,0.00,0.00,26.89,-14.69,2.06,-265,5376,751,0.00,0.01,0.01,26.91,889.75,24.34,27.59,0,182.54,15.48,26.46,1941,0,
2020/02/20 17:16:37,998.08,16.32,28.21,29.00,2.77,-17.53,3.27,0,0,16,0.00,0.00,0.00,26.89,-14.42,1.82,-266,5632,750,0.00,0.01,0.01,26.91,892.88,24.59,27.58,0,182.15,15.74,26.32,1949,0,
2020/02/20 17:16:59,998.06,16.48,28.15,28.75,2.77,-17.46,3.27,0,0,16,0.00,0.00,0.00,26.88,-14.53,2.05,-266,5376,751,0.00,0.01,0.01,26.91,891.88,24.53,27.56,0,182.93,15.59,26.22,1948,0,
2020/02/20 17:17:21,998.05,16.64,28.06,28.75,2.77,-17.38,3.28,0,0,16,0.00,0.00,0.00,26.88,-14.63,2.26,-265,5120,750,0.00,0.01,0.01,26.91,890.25,24.41,27.51,0,182.93,15.61,26.12,1941,0,
2020/02/20 17:17:43,998.02,16.39,28.01,28.75,2.77,-17.38,3.03,0,0,16,0.00,0.00,0.00,26.87,-14.48,2.50,-266,5632,750,0.00,0.01,0.01,26.91,891.00,24.50,27.49,0,182.54,15.67,26.03,1937,0,
2020/02/20 17:18:05,998.06,16.61,27.98,28.75,2.77,-17.23,3.05,0,0,16,0.00,0.00,0.00,26.86,-14.70,2.27,-265,5120,749,0.00,0.01,0.01,26.90,891.13,24.48,27.45,0,182.54,15.63,25.97,1938,0,
2020/02/20 17:18:27,997.99,16.42,27.92,28.75,2.76,-17.31,3.26,0,0,16,0.00,0.00,0.00,26.85,-14.48,2.05,-265,5376,750,0.00,0.01,0.01,26.90,892.00,24.58,27.44,0,182.93,15.70,25.91,1940,0,
2020/02/20 17:18:49,998.02,16.35,27.84,28.75,2.76,-17.01,3.49,0,0,16,0.00,0.00,0.00,26.85,-14.70,2.05,-265,5376,749,0.00,0.01,0.01,26.90,892.75,24.58,27.40,0,182.93,15.72,25.85,1942,0,
2020/02/20 17:19:11,998.05,16.39,27.83,28.75,2.76,-16.86,3.27,0,0,17,0.00,0.00,0.00,26.83,-14.69,2.27,-265,5888,751,0.00,0.01,0.01,26.90,890.88,24.38,27.35,0,182.93,15.65,25.79,1938,0,
2020/02/20 17:19:33,997.99,16.38,27.78,28.50,2.77,-17.45,3.03,0,0,17,0.00,0.00,0.00,26.83,-14.69,1.82,-265,5120,751,0.00,0.01,0.01,26.90,891.38,24.50,27.33,0,182.93,15.66,25.72,1937,0,
2020/02/20 17:19:55,997.98,16.20,27.73,28.50,2.77,-17.38,3.75,0,0,17,0.00,0.00,0.00,26.83,-14.48,1.82,-265,5632,751,0.00,0.01,0.01,26.90,891.75,24.53,27.28,0,182.93,15.61,25.65,1939,0,
2020/02/20 17:20:17,998.00,16.37,27.69,28.50,2.76,-17.45,3.26,0,0,17,0.00,0.00,0.00,26.81,-14.37,2.04,-266,5888,752,0.00,0.01,0.01,26.89,891.25,24.46,27.26,0,182.54,15.58,25.55,1939,0,
2020/02/20 17:20:39,998.01,16.28,27.64,28.50,2.76,-17.38,3.27,0,0,17,0.00,0.00,0.00,26.80,-14.53,2.26,-266,5632,751,0.00,0.01,0.01,26.88,894.25,24.69,27.24,0,182.54,15.65,25.52,1938,0,
2020/02/20 17:21:01,998.03,16.41,27.61,28.25,2.77,-17.08,3.04,0,0,17,0.00,0.00,0.00,26.80,-14.47,2.28,-268,5376,750,0.00,0.01,0.01,26.88,892.88,24.62,27.24,0,182.54,15.75,25.49,1936,0,
2020/02/20 17:21:23,998.02,16.45,27.57,28.50,2.77,-17.01,3.04,0,0,16,0.00,0.00,0.00,26.78,-14.31,2.05,-266,5120,751,0.00,0.01,0.01,26.87,894.75,24.72,27.23,0,182.54,15.89,25.47,1933,0,
2020/02/20 17:21:45,997.93,16.30,27.55,28.25,2.77,-17.38,3.29,0,0,17,0.00,0.00,0.00,26.78,-14.47,1.82,-266,5632,753,0.00,0.01,0.01,26.87,893.38,24.62,27.19,0,182.54,15.81,25.43,1935,0,
2020/02/20 17:22:07,998.01,16.39,27.53,28.25,2.77,-17.23,3.03,0,0,17,0.00,0.00,0.00,26.76,-14.42,2.04,13,5376,753,0.00,0.01,0.01,26.86,893.75,24.66,27.15,0,182.54,15.88,25.40,1929,0,
2020/02/20 17:22:29,997.96,16.39,27.50,28.25,2.77,-17.30,2.81,0,0,17,0.00,0.00,0.00,26.75,-14.75,1.82,-265,5120,753,0.00,0.01,0.01,26.85,894.25,24.72,27.14,0,182.54,15.93,25.40,1938,0,
2020/02/20 17:22:51,997.98,16.18,27.47,28.25,2.77,-17.15,3.27,0,0,17,0.00,0.00,0.00,26.75,-14.48,2.27,13,5376,751,0.00,0.01,0.01,26.85,893.38,24.58,27.10,0,182.93,15.78,25.40,1931,0,
2020/02/20 17:23:13,997.95,16.28,27.46,28.25,2.77,-16.94,3.06,0,0,17,0.00,0.00,0.00,26.73,-14.47,2.03,-265,5376,763,0.00,0.01,0.01,26.84,893.50,24.62,27.08,0,182.54,15.66,25.37,1936,0,
2020/02/20 17:23:35,997.95,16.19,27.44,28.25,2.76,-17.01,3.27,0,0,17,0.00,0.00,0.00,26.73,-14.70,2.28,-267,5376,751,0.00,0.01,0.01,26.84,894.63,24.67,27.07,0,182.93,15.70,25.37,1932,0,
2020/02/20 17:23:57,997.92,16.22,27.42,28.25,2.76,-17.52,3.27,0,0,16,0.00,0.00,0.00,26.72,-14.42,2.06,-268,5376,756,0.00,0.01,0.01,26.83,895.00,24.73,27.05,0,182.54,15.67,25.34,1939,0,
2020/02/20 17:24:19,997.94,16.19,27.41,28.25,2.77,-17.38,3.04,0,256,17,0.00,0.00,0.00,26.71,-14.25,2.49,13,5632,764,0.00,0.01,0.01,26.83,896.00,24.79,27.05,0,182.54,15.74,25.33,1939,0,
2020/02/20 17:24:41,997.92,16.55,27.38,28.25,2.77,-17.24,3.27,0,0,17,0.00,0.00,0.00,26.71,-14.25,1.82,-267,5376,763,0.00,0.01,0.01,26.83,895.25,24.78,27.05,0,182.93,15.80,25.33,1940,0,
2020/02/20 17:25:03,997.93,16.51,27.38,28.00,2.76,-17.38,3.26,0,0,17,0.00,0.00,0.00,26.70,-14.69,2.27,13,5376,763,0.00,0.01,0.01,26.82,896.63,24.85,27.05,0,182.93,15.81,25.34,1928,0,
2020/02/20 17:25:25,997.87,16.53,27.38,28.25,2.76,-17.02,3.03,0,0,17,0.00,0.00,0.00,26.69,-14.69,1.82,-267,5376,763,0.00,0.01,0.01,26.82,896.50,24.84,27.05,0,182.93,15.93,25.38,1932,0,
2020/02/20 17:25:47,997.95,16.53,27.40,28.25,2.76,-16.79,3.49,0,0,17,0.00,0.00,0.00,26.68,-14.31,2.26,-265,5376,764,0.00,0.01,0.01,26.81,896.88,24.87,27.08,0,182.93,16.10,25.45,1932,0,
2020/02/20 17:26:09,997.90,16.67,27.41,28.25,2.76,-17.08,3.49,0,0,17,0.00,0.00,0.00,26.67,-14.70,2.05,-265,5376,764,0.00,0.01,0.01,26.80,896.63,24.85,27.08,0,182.54,16.13,25.55,1938,0,
2020/02/20 17:26:31,997.87,16.73,27.44,28.25,2.77,-17.08,3.27,0,0,17,0.00,0.00,0.00,26.66,-14.48,2.28,-265,5632,764,0.00,0.01,0.01,26.80,896.38,24.83,27.08,0,182.54,16.13,25.63,1936,0,
2020/02/20 17:26:53,997.87,16.72,27.46,28.25,2.76,-17.37,3.27,0,0,17,0.00,0.00,0.00,26.66,-14.64,2.27,12,5632,768,0.00,0.01,0.01,26.79,896.88,24.88,27.12,0,182.54,16.11,25.76,1938,0,
2020/02/20 17:27:15,997.91,16.89,27.47,28.25,2.77,-17.31,3.02,0,256,17,0.00,0.00,0.00,26.66,-14.75,2.04,-267,5632,767,0.00,0.01,0.01,26.80,897.00,24.88,27.12,0,182.93,16.14,25.87,1939,0,
2020/02/20 17:27:37,997.91,16.70,27.52,28.25,2.76,-16.86,2.59,0,0,17,0.00,0.00,0.00,26.66,-14.62,2.03,-267,5632,766,0.00,0.01,0.01,26.80,896.50,24.85,27.14,0,182.54,16.24,25.95,1930,0,
2020/02/20 17:27:59,997.90,17.04,27.57,28.50,2.76,-17.15,3.26,0,0,17,0.00,0.00,0.00,26.65,-14.47,2.28,-265,5888,767,0.00,0.01,0.01,26.79,896.50,24.85,27.15,0,182.54,16.22,26.05,1942,0,
2020/02/20 17:28:21,997.88,16.97,27.62,28.25,2.77,-17.08,3.28,0,0,17,0.00,0.00,0.00,26.65,-14.42,2.26,-265,5632,768,0.00,0.01,0.01,26.79,897.38,24.89,27.17,0,182.93,16.14,26.15,1942,0,
2020/02/20 17:28:43,997.84,16.91,27.65,28.50,2.77,-17.01,3.27,0,0,17,0.00,0.00,0.00,26.65,-14.53,2.06,-267,5376,770,0.00,0.01,0.01,26.78,896.88,24.89,27.17,0,182.93,16.12,26.24,1937,0,
2020/02/20 17:29:05,997.89,16.91,27.71,28.50,2.76,-17.24,3.72,0,0,17,0.00,0.00,0.00,26.65,-14.48,2.04,-265,5632,772,0.00,0.01,0.01,26.79,896.50,24.85,27.19,0,182.93,16.10,26.33,1937,0,
2020/02/20 17:29:27,997.87,16.89,27.75,28.50,2.77,-17.01,3.03,0,0,17,0.00,0.00,0.00,26.65,-14.42,2.04,-267,5632,772,0.00,0.01,0.01,26.79,896.88,24.88,27.23,0,182.93,16.08,26.42,1937,0,
2020/02/20 17:29:49,997.85,16.78,27.80,28.50,2.77,-17.24,3.27,0,0,17,0.00,0.00,0.00,26.64,-14.47,2.27,-266,5376,771,0.00,0.01,0.01,26.78,897.00,24.88,27.24,0,182.93,16.10,26.50,1936,0,
2020/02/20 17:30:11,997.91,16.70,27.86,28.75,2.77,-17.30,3.04,0,0,17,0.00,0.00,0.00,26.65,-14.64,2.50,-265,5376,771,0.00,0.01,0.01,26.78,897.50,24.91,27.26,0,182.93,16.08,26.57,1936,0,
