Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Anemometer revolutions [number],
2020/02/20 12:13:55,998.07,22.58,25.74,26.50,2.76,454,
2020/02/20 12:14:00,998.04,22.29,25.80,26.50,2.77,275,
2020/02/20 12:14:05,998.04,22.26,25.70,26.75,2.76,242,
2020/02/20 12:14:10,998.08,22.21,25.68,26.75,2.77,165,
2020/02/20 12:14:15,998.05,22.21,25.67,26.50,2.76,178,
2020/02/20 12:14:20,998.04,22.50,25.64,26.50,2.76,1,
2020/02/20 12:14:25,998.06,22.38,25.64,26.75,2.76,1,
2020/02/20 12:14:30,998.04,22.25,25.63,26.75,2.76,0,
2020/02/20 12:14:35,998.04,22.16,25.62,26.75,2.77,0,
2020/02/20 12:14:40,998.00,22.14,25.61,26.50,2.77,32,
2020/02/20 12:14:45,998.02,22.09,25.60,26.50,2.77,203,
2020/02/20 12:14:50,997.99,22.09,25.60,26.50,2.76,62,
2020/02/20 12:14:55,998.04,22.05,25.59,26.50,2.76,0,
2020/02/20 12:15:00,998.03,22.04,25.58,26.50,2.76,1,
2020/02/20 12:15:05,998.06,22.05,25.58,26.50,2.76,1,
2020/02/20 12:15:10,998.05,22.06,25.58,26.50,2.76,113,
2020/02/20 12:15:15,998.03,22.09,25.58,26.50,2.76,216,
2020/02/20 12:15:20,998.01,22.09,25.58,26.50,2.77,216,
2020/02/20 12:15:25,998.01,22.09,25.58,26.50,2.76,216,
2020/02/20 12:15:30,998.02,22.14,25.57,26.50,2.76,216,
2020/02/20 12:15:35,998.01,22.14,25.57,26.50,2.77,216,
2020/02/20 12:15:40,998.06,22.09,25.57,26.50,2.76,216,
2020/02/20 12:15:45,998.06,22.10,25.57,26.50,2.76,216,
2020/02/20 12:15:50,997.96,22.22,25.56,26.50,2.76,216,
2020/02/20 12:15:55,998.01,22.41,25.56,26.50,2.77,216,
2020/02/20 12:16:00,998.03,22.51,25.56,26.50,2.76,216,
2020/02/20 12:16:05,998.03,22.35,25.56,26.75,2.77,217,
2020/02/20 12:16:10,998.06,22.24,25.56,26.50,2.77,228,
2020/02/20 12:16:15,998.02,22.17,25.56,26.50,2.76,239,
2020/02/20 12:16:20,997.99,22.22,25.56,26.50,2.76,250,
2020/02/20 12:16:25,998.03,22.23,25.56,26.50,2.76,252,
2020/02/20 12:16:30,998.09,22.20,25.56,26.50,2.77,231,
2020/02/20 12:16:35,998.04,22.11,25.55,26.50,2.76,52,
2020/02/20 12:16:40,998.05,22.11,25.56,26.50,2.77,1,
2020/02/20 12:16:45,998.00,22.16,25.56,26.50,2.76,1,
2020/02/20 12:16:50,998.04,22.18,25.55,26.50,2.77,0,
2020/02/20 12:16:55,998.02,22.18,25.55,26.75,2.76,0,
2020/02/20 12:17:00,998.02,22.22,25.55,26.50,2.76,0,
2020/02/20 12:17:05,998.02,22.17,25.55,26.50,2.76,163,
2020/02/20 12:17:10,998.01,22.14,25.55,26.50,2.76,250,
2020/02/20 12:17:15,998.04,22.12,25.55,26.50,2.76,222,
2020/02/20 12:17:20,998.05,22.12,25.54,26.50,2.76,0,
