Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], NumTicks [Cnt], 
2020/02/20 13:27:53,998.29,21.98,26.31,27.00,2.76,-9999
2020/02/20 13:27:59,998.28,21.60,26.37,27.00,2.76,-9999
2020/02/20 13:28:04,998.23,21.73,26.22,27.00,2.76,0,
2020/02/20 13:28:09,998.24,20.92,26.20,27.00,2.76,0,
2020/02/20 13:28:14,998.25,20.93,26.18,27.00,2.77,15,
2020/02/20 13:28:19,998.27,20.99,26.16,27.00,2.76,15,
2020/02/20 13:28:24,998.26,20.98,26.14,27.00,2.76,42,
2020/02/20 13:28:29,998.26,21.02,26.11,27.25,2.76,221,
2020/02/20 13:28:34,998.23,21.03,26.09,27.25,2.76,235,
2020/02/20 13:28:39,998.20,20.98,26.07,27.00,2.76,129,
2020/02/20 13:28:44,998.21,20.83,26.05,27.00,2.77,0,
2020/02/20 13:28:49,998.20,20.53,26.03,27.00,2.77,0,
2020/02/20 13:28:54,998.25,20.43,26.02,27.00,2.77,0,
2020/02/20 13:28:59,998.22,20.22,25.99,27.00,2.76,0,
2020/02/20 13:29:04,998.24,20.26,25.99,27.00,2.77,0,
2020/02/20 13:29:09,998.26,20.20,25.97,27.00,2.76,0,
2020/02/20 13:29:14,998.32,19.98,25.95,27.00,2.77,0,
2020/02/20 13:29:19,998.28,20.05,25.95,27.00,2.76,0,
2020/02/20 13:29:24,998.29,20.14,25.91,27.00,2.77,0,
2020/02/20 13:29:29,998.23,19.88,25.89,27.00,2.77,0,
2020/02/20 13:29:34,998.23,19.79,25.87,27.00,2.77,0,
2020/02/20 13:29:39,998.19,20.09,25.84,26.75,2.77,0,
2020/02/20 13:29:44,998.21,20.21,25.84,26.75,2.77,0,
2020/02/20 13:29:49,998.17,19.92,25.83,26.75,2.76,0,
2020/02/20 13:29:54,998.23,20.63,25.82,26.75,2.77,0,
2020/02/20 13:29:59,998.17,20.39,25.81,26.75,2.77,0,
2020/02/20 13:30:04,998.27,20.21,25.80,26.75,2.76,0,
2020/02/20 13:30:09,998.22,19.96,25.77,26.75,2.76,0,
2020/02/20 13:30:14,998.23,20.69,25.76,26.75,2.77,0,
2020/02/20 13:30:19,998.28,20.44,25.76,26.75,2.77,0,
