Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], R_d [deg], P_d [deg], UVA_d, UVB_d, White_d, Vis_d [lx], IR_S_d, IR_M_d, PyroT_d [C], IR_Long [mV], IR_Long [C], PyrgT [C], Count [#], Wind direction [degrees],Humidity [%], Temp Atmos [C],Distace [mm], Rain bucket tips [0.01in],
2020/02/20 16:58:49,998.07,19.40,28.45,29.25,2.77,3.41,7.76,17,4096,645,0.00,0.01,0.01,26.84,5.76,0.00,-239,0,13,0.00,0.00,0.00,26.47,892.25,24.54,27.82,0,182.15,18.64,27.05,9999,0,
2020/02/20 16:59:08,998.13,19.53,28.59,29.50,2.77,3.64,7.76,17,4096,643,0.00,0.01,0.01,26.81,5.51,0.00,-265,0,13,0.00,0.00,0.00,26.42,892.38,24.56,27.84,0,182.54,18.84,26.98,9999,2,
2020/02/20 16:59:30,998.10,19.58,28.57,29.50,2.76,3.85,7.76,17,4096,644,0.00,0.01,0.01,26.82,5.74,0.00,-264,0,12,0.00,0.00,0.00,26.43,891.13,24.47,27.86,0,182.54,18.78,26.96,9999,2,
2020/02/20 16:59:52,998.12,19.72,28.56,29.25,2.77,3.64,7.99,17,4096,646,0.00,0.01,0.01,26.82,5.76,0.00,-264,0,13,0.00,0.00,0.00,26.43,892.25,24.55,27.87,0,182.54,18.63,26.94,9999,2,
2020/02/20 17:00:14,998.13,19.13,28.57,29.50,2.77,3.67,8.18,17,4096,646,0.00,0.01,0.01,26.83,5.74,0.00,0,0,12,0.00,0.00,0.00,26.44,891.75,24.52,27.89,0,182.54,18.66,26.93,9999,2,
2020/02/20 17:00:36,998.09,19.12,28.58,29.50,2.77,3.40,7.96,17,4096,645,0.00,0.01,0.01,26.84,5.78,0.00,-265,0,12,0.00,0.00,0.00,26.45,891.50,24.49,27.89,0,182.54,18.65,26.93,9999,2,
2020/02/20 17:00:58,998.10,19.01,28.59,29.25,2.77,4.08,7.99,17,3840,644,0.00,0.01,0.01,26.85,5.76,0.00,-265,0,12,0.00,0.00,0.00,26.46,892.00,24.53,27.89,0,182.54,18.81,26.92,9999,2,
2020/02/20 17:01:20,998.08,19.12,28.60,29.50,2.77,3.64,8.18,17,3840,644,0.00,0.01,0.01,26.86,5.49,0.00,-264,0,12,0.00,0.00,0.00,26.47,891.50,24.50,27.89,0,182.54,18.77,26.93,9999,2,
2020/02/20 17:01:42,998.14,19.28,28.59,29.25,2.76,3.63,7.99,16,4096,644,0.00,0.01,0.01,26.87,5.94,-0.23,-264,0,12,0.00,0.00,0.00,26.48,891.88,24.52,27.89,0,182.54,19.04,26.94,9999,2,
2020/02/20 17:02:04,998.10,19.38,28.60,29.50,2.77,3.42,8.21,17,4096,646,0.00,0.01,0.01,26.88,5.74,0.00,-265,0,12,0.00,0.00,0.00,26.49,891.38,24.50,27.91,0,182.54,18.40,26.97,9999,2,
2020/02/20 17:02:26,998.15,18.93,28.61,29.50,2.76,3.85,8.18,17,4096,644,0.00,0.01,0.01,26.88,5.76,0.00,-265,0,12,0.00,0.00,0.00,26.50,891.25,24.47,27.91,0,182.54,18.59,26.98,9999,2,
2020/02/20 17:02:48,998.13,19.18,28.63,29.50,2.77,-12.98,3.96,0,0,10,0.00,0.00,0.00,26.85,-9.54,1.58,-266,5376,708,0.00,0.01,0.01,26.55,891.75,24.50,27.91,0,183.71,18.52,27.01,9999,2,
2020/02/20 17:03:10,998.13,19.05,28.65,29.50,2.77,-12.88,3.71,0,0,10,0.00,0.00,0.00,26.83,-9.98,1.58,-268,5376,714,0.00,0.01,0.01,26.57,893.00,24.67,27.93,0,182.93,18.28,27.04,9999,2,
2020/02/20 17:03:32,998.13,18.87,28.64,29.50,2.77,-12.93,3.98,0,0,10,0.00,0.00,0.00,26.83,-9.98,1.80,-268,5632,712,0.00,0.01,0.01,26.60,891.00,24.45,27.89,0,182.93,18.68,27.07,9999,2,
2020/02/20 17:03:54,998.12,19.36,28.65,29.50,2.77,-12.94,3.95,0,0,10,0.00,0.00,0.00,26.83,-9.98,1.36,-268,5120,713,0.00,0.01,0.01,26.61,891.88,24.51,27.91,0,182.93,19.12,27.11,9999,2,
2020/02/20 17:04:16,998.14,19.33,28.65,29.25,2.77,-13.17,3.75,0,0,10,0.00,0.00,0.00,26.83,-10.02,1.35,-268,5120,714,0.00,0.01,0.01,26.63,893.13,24.62,27.93,0,182.54,18.44,27.14,9999,2,
2020/02/20 17:04:38,998.18,19.10,28.67,29.50,2.77,-17.53,3.05,0,0,17,0.00,0.00,0.00,26.83,-14.48,2.04,-267,5376,761,0.00,0.01,0.01,26.65,891.13,24.49,27.91,0,182.54,18.36,27.18,9999,2,
2020/02/20 17:05:00,998.08,18.82,28.66,29.25,2.77,-17.30,3.03,0,0,16,0.00,0.00,0.00,26.82,-14.67,1.38,-267,5376,757,0.00,0.01,0.01,26.66,890.50,24.39,27.89,0,182.93,18.00,27.18,9999,2,
