Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC],PresOB [mBar],RH_OB [%],TempOB [C],Temp RTC [C],Bat [V],R_u [deg],P_u [deg],UVA_u,UVB_u,White_u,Vis_u [lx],IR_S_u,IR_M_u,PyroT_u [C],R_d [deg],P_d [deg],UVA_d,UVB_d,White_d,Vis_d [lx],IR_S_d,IR_M_d,PyroT_d [C],IR_Long [mV],IR_Long [C],PyrgT [C],NumTicks [Cnt],Wind direction [degrees],Humidity [%],Temp Atmos [C],Distace [mm],Rain bucket tips [0.01in],
2020/02/23 23:06:06,953.37,48.53,9.90,10.50,4.73,3.80,0.90,16,3328,1955,0.00,0.03,0.03,10.15,3.94,6.74,2,1792,182,0.00,0.00,0.00,10.29,908.00,25.68,10.90,-9999,55.86,55.63,9.77,1233,0,
2020/02/23 23:11:05,952.63,26.89,9.88,10.75,4.73,4.28,0.67,12,2048,1607,0.00,0.02,0.03,9.76,5.05,7.63,1,1536,160,0.00,0.00,0.00,9.93,911.25,25.91,10.77,643,55.86,55.13,9.76,9999,0,
2020/02/23 23:16:07,952.70,21.11,9.92,10.75,4.73,-0.91,3.53,30,7680,1383,0.00,0.02,0.02,9.39,2.54,4.89,0,1024,123,0.00,0.00,0.00,9.56,909.13,25.75,10.74,696,56.25,55.84,9.66,9999,0,
2020/02/23 23:21:09,952.78,18.75,9.88,10.75,4.73,4.48,3.34,29,7680,1194,0.00,0.01,0.02,9.13,5.37,3.92,1,1280,105,0.00,0.00,0.00,9.27,907.25,25.61,10.99,741,55.86,54.21,10.08,1121,0,
2020/02/23 23:26:11,952.94,17.56,9.88,10.75,4.73,17.22,0.71,3,256,1004,0.00,0.01,0.02,8.90,8.19,6.79,0,1024,88,0.00,0.00,0.00,9.04,907.50,25.66,10.86,681,56.25,55.32,9.73,1131,0,
2020/02/23 23:31:13,952.93,17.42,9.84,10.75,4.73,5.05,3.13,0,-512,705,0.00,0.01,0.01,8.72,3.99,4.03,1,1280,60,0.00,0.00,0.00,8.88,905.38,25.47,10.86,728,55.46,52.93,10.13,1159,0,
2020/02/23 23:36:15,952.42,16.58,9.93,10.75,4.73,4.07,2.71,-1,-1024,572,0.00,0.01,0.01,8.65,3.71,3.36,1,1280,53,0.00,0.00,0.00,8.78,905.88,25.53,10.96,648,55.86,53.30,10.19,1160,2,
2020/02/23 23:41:17,952.67,15.41,9.94,10.75,4.73,0.62,3.44,-4,-1536,425,0.00,0.00,0.01,8.58,2.27,4.25,0,1024,34,0.00,0.00,0.00,8.72,903.63,25.36,11.11,723,56.25,52.65,10.30,1162,0,
2020/02/23 23:46:19,952.33,14.62,9.91,10.75,4.73,5.13,2.88,-1,-256,319,0.00,0.00,0.00,8.58,6.02,4.63,0,512,24,0.00,0.00,0.00,8.69,903.50,25.35,11.02,888,53.90,53.09,10.27,1171,0,
2020/02/23 23:51:21,952.38,13.89,9.80,10.50,4.73,5.15,2.90,-5,-1280,242,0.00,0.00,0.00,8.45,6.02,4.41,0,256,19,0.00,0.00,0.00,8.64,904.25,25.41,10.83,394,172.77,52.76,10.08,1166,0,
2020/02/23 23:56:23,952.58,13.29,9.63,10.50,4.73,5.13,2.90,-7,-1792,177,0.00,0.00,0.00,8.23,6.24,4.41,0,256,14,0.00,0.00,0.00,8.51,904.50,25.43,10.50,450,71.10,55.18,9.65,1174,0,
2020/02/24 00:01:25,952.47,13.26,9.47,10.25,4.70,4.46,2.37,-7,-1792,130,0.00,0.00,0.00,8.19,6.40,4.47,0,0,10,0.00,0.00,0.00,8.40,902.88,25.31,10.74,797,111.77,53.41,10.13,1171,0,
2020/02/24 00:06:27,952.27,13.03,9.43,10.25,4.73,5.60,2.92,-8,-1792,82,0.00,0.00,0.00,8.10,5.95,4.39,0,0,6,0.00,0.00,0.00,8.32,903.00,25.33,10.65,780,73.84,52.51,9.99,1170,0,
2020/02/24 00:11:29,952.35,12.59,9.37,10.25,4.73,4.91,2.91,-9,-2048,47,0.00,0.00,0.00,8.01,6.02,4.60,0,0,3,0.00,0.00,0.00,8.25,902.88,25.31,10.50,706,24.97,54.50,9.76,1173,0,
2020/02/24 00:16:31,952.14,12.53,9.26,10.00,4.73,6.38,2.91,-8,-2048,23,0.00,0.00,0.00,7.91,2.33,4.78,0,0,1,0.00,0.00,0.00,8.15,904.50,25.44,10.53,818,186.45,52.73,9.94,1175,0,
2020/02/24 00:21:33,952.51,12.64,9.23,10.00,4.73,5.37,3.11,-8,-1792,10,0.00,0.00,0.00,7.90,5.54,4.38,0,0,0,0.00,0.00,0.00,8.10,903.13,25.35,10.62,588,116.07,52.44,10.03,1175,0,
2020/02/24 00:26:35,952.14,13.23,9.27,10.00,4.73,5.13,2.90,-4,-512,4,0.00,0.00,0.00,7.99,6.02,4.39,0,0,0,0.00,0.00,0.00,8.12,902.25,25.26,10.96,792,73.45,50.44,10.45,1172,0,
2020/02/24 00:31:37,952.23,13.33,9.38,10.25,4.73,5.79,2.90,-1,256,0,0.00,0.00,0.00,8.10,5.99,4.88,0,0,0,0.00,0.00,0.00,8.19,900.13,25.10,10.90,898,123.50,52.14,10.21,1269,0,
2020/02/24 00:36:39,951.99,12.92,9.40,10.25,4.73,5.64,2.86,0,256,0,0.00,0.00,0.00,8.14,6.91,4.75,0,0,0,0.00,0.00,0.00,8.26,903.88,25.42,10.90,735,85.18,51.02,10.32,1167,0,
2020/02/24 00:41:41,951.98,13.85,9.50,10.25,4.73,5.35,3.12,0,0,0,0.00,0.00,0.00,8.30,6.02,4.64,0,0,0,0.00,0.00,0.00,8.38,899.88,25.09,11.14,740,228.68,51.24,10.53,1174,0,
2020/02/24 00:46:43,951.87,12.73,9.52,10.25,4.73,5.35,3.14,0,0,0,0.00,0.00,0.00,8.25,6.50,4.63,0,0,0,0.00,0.00,0.00,8.42,901.00,25.16,10.99,758,26.92,51.18,10.32,1175,0,
2020/02/24 00:51:45,951.67,12.87,9.52,10.25,4.73,5.70,3.11,0,0,0,0.00,0.00,0.00,8.32,5.55,5.25,0,0,0,0.00,0.00,0.00,8.46,900.25,25.11,11.05,805,22.23,51.92,10.42,1165,0,
2020/02/24 00:56:47,951.94,11.84,9.47,10.25,4.73,5.57,2.19,0,0,0,0.00,0.00,0.00,8.15,7.28,4.18,0,0,0,0.00,0.00,0.00,8.44,898.75,25.03,10.74,1016,11.28,53.39,10.17,1173,0,
2020/02/24 01:01:49,951.56,11.73,9.37,10.00,4.73,5.35,3.11,0,0,0,0.00,0.00,0.00,8.06,7.42,4.39,0,0,0,0.00,0.00,0.00,8.34,899.63,25.06,10.77,818,105.90,51.89,10.34,1177,0,
2020/02/24 01:06:51,951.90,11.97,9.34,10.00,4.73,5.02,3.12,0,0,0,0.00,0.00,0.00,8.08,5.99,4.31,0,0,0,0.00,0.00,0.00,8.29,902.75,25.31,10.83,632,198.96,52.03,10.24,1168,0,
2020/02/24 01:11:53,951.99,12.11,9.33,10.25,4.73,4.45,2.69,0,0,0,0.00,0.00,0.00,8.06,5.10,4.36,0,0,0,0.00,0.00,0.00,8.29,899.63,25.08,10.90,730,172.38,52.69,10.39,1173,0,
2020/02/24 01:16:55,951.97,11.72,9.28,10.00,4.73,4.26,2.57,0,0,0,0.00,0.00,0.00,7.95,6.53,3.06,0,0,0,0.00,0.00,0.00,8.24,899.38,25.07,10.77,867,181.76,52.42,10.24,1172,0,
2020/02/24 01:21:57,952.01,11.83,9.23,10.00,4.73,5.35,3.12,0,0,0,0.00,0.00,0.00,8.00,5.79,4.41,0,0,0,0.00,0.00,0.00,8.19,899.00,25.04,10.83,1074,43.73,52.64,10.32,1173,0,
2020/02/24 01:26:59,951.61,10.85,9.16,10.00,4.73,4.00,2.46,0,0,0,0.00,0.00,0.00,7.58,6.25,4.66,0,0,0,0.00,0.00,0.00,8.09,898.75,25.01,10.25,891,146.96,57.51,9.69,1172,0,
2020/02/24 01:32:01,951.85,10.76,8.97,9.75,4.73,5.11,2.90,0,0,0,0.00,0.00,0.00,7.30,2.79,4.80,0,0,0,0.00,0.00,0.00,7.84,902.38,25.26,10.25,907,122.33,55.49,9.88,1178,0,
2020/02/24 01:37:03,951.63,10.38,8.82,9.50,4.73,5.13,2.88,0,0,0,0.00,0.00,0.00,7.02,6.25,4.16,0,0,0,0.00,0.00,0.00,7.59,899.50,25.09,9.85,758,213.82,60.14,9.33,1173,0,
2020/02/24 01:42:05,951.75,10.37,8.63,9.50,4.73,5.33,3.12,0,0,0,0.00,0.00,0.00,6.73,6.04,4.39,0,0,0,0.00,0.00,0.00,7.34,900.75,25.17,9.85,607,127.41,54.75,9.72,1173,0,
2020/02/24 01:47:07,952.11,10.96,8.67,9.50,4.73,5.15,2.90,0,0,0,0.00,0.00,0.00,6.86,6.25,4.41,0,0,0,0.00,0.00,0.00,7.24,896.63,24.85,10.50,989,60.55,56.71,10.08,1175,0,
2020/02/24 01:52:09,952.24,10.40,8.66,9.50,4.73,7.37,3.74,0,0,0,0.00,0.00,0.00,6.66,3.74,4.85,0,0,0,0.00,0.00,0.00,7.14,901.63,25.21,9.94,771,171.98,61.07,9.52,1170,0,
2020/02/24 01:57:11,952.33,10.13,8.45,9.25,4.73,5.37,2.87,0,0,0,0.00,0.00,0.00,6.46,5.99,4.36,0,0,0,0.00,0.00,0.00,7.01,899.63,25.06,9.59,702,43.73,63.17,9.44,1166,0,
2020/02/24 02:02:13,952.63,9.96,8.04,8.75,4.73,5.15,3.12,0,0,0,0.00,0.00,0.00,6.15,5.76,4.62,0,0,0,0.00,0.00,0.00,6.78,901.00,25.19,9.08,870,115.29,65.28,8.84,1177,0,
2020/02/24 02:07:15,952.59,9.91,7.72,8.50,4.73,4.21,2.46,0,0,0,0.00,0.00,0.00,5.89,6.50,4.43,0,0,0,0.00,0.00,0.00,6.51,900.00,25.10,9.14,877,57.42,63.17,9.02,1171,0,
2020/02/24 02:12:17,952.42,9.96,7.69,8.50,4.73,5.15,3.13,0,0,0,0.00,0.00,0.00,5.76,6.04,4.64,0,0,0,0.00,0.00,0.00,6.34,898.75,25.01,9.34,842,43.34,62.30,9.36,1165,0,
2020/02/24 02:17:19,952.60,9.99,7.77,8.50,4.73,4.72,2.66,0,0,0,0.00,0.00,0.00,5.81,9.32,4.58,0,0,0,0.00,0.00,0.00,6.24,898.38,25.02,9.59,932,155.95,60.55,9.40,1160,0,
2020/02/24 02:22:21,953.03,10.16,7.84,8.50,4.73,5.62,2.87,0,0,0,0.00,0.00,0.00,5.85,5.35,4.40,0,0,0,0.00,0.00,0.00,6.24,897.38,24.91,9.75,761,89.48,58.87,9.68,1167,0,
2020/02/24 02:27:23,952.71,10.45,7.96,8.75,4.73,5.57,3.12,0,0,0,0.00,0.00,0.00,5.99,6.07,4.41,0,0,0,0.00,0.00,0.00,6.30,898.63,25.04,9.81,779,292.81,56.77,9.83,1169,0,
2020/02/24 02:32:25,952.81,11.02,8.07,8.75,4.72,4.22,2.89,0,0,0,0.00,0.00,0.00,6.15,6.94,4.61,0,0,0,0.00,0.00,0.00,6.42,895.13,24.79,10.16,795,32.00,56.76,10.01,1166,0,
2020/02/24 02:37:27,952.60,11.41,8.16,9.00,4.73,5.11,3.12,0,0,0,0.00,0.00,0.00,6.27,5.94,4.41,0,0,0,0.00,0.00,0.00,6.55,894.88,24.76,10.19,726,114.12,55.84,10.24,1169,0,
2020/02/24 02:42:29,952.91,10.81,8.24,9.00,4.73,3.47,3.01,0,0,0,0.00,0.00,0.00,6.41,6.45,4.25,0,0,0,0.00,0.00,0.00,6.68,895.38,24.76,10.03,952,105.12,59.86,9.80,1163,0,
2020/02/24 02:47:31,952.71,10.12,8.11,9.00,4.72,5.13,2.68,0,0,0,0.00,0.00,0.00,6.26,6.53,4.41,0,0,0,0.00,0.00,0.00,6.70,897.75,24.94,9.50,676,98.48,62.66,9.37,1158,0,
2020/02/24 02:52:33,952.57,10.15,7.70,8.50,4.73,5.13,2.90,0,0,0,0.00,0.00,0.00,6.11,5.99,4.62,0,0,0,0.00,0.00,0.00,6.60,897.75,24.94,9.21,715,175.50,64.72,9.15,1163,0,
2020/02/24 02:57:35,953.17,10.14,7.45,8.25,4.73,4.89,2.91,0,0,0,0.00,0.00,0.00,5.98,6.02,4.62,0,0,0,0.00,0.00,0.00,6.43,900.63,25.14,9.08,656,31.22,64.07,9.08,1164,0,
2020/02/24 03:02:37,953.13,10.35,7.38,8.25,4.73,4.91,3.13,0,0,0,0.00,0.00,0.00,5.91,6.24,4.38,0,0,0,0.00,0.00,0.00,6.32,897.38,24.92,9.31,757,48.82,64.62,9.22,1164,0,
2020/02/24 03:07:39,952.73,10.23,7.39,8.25,4.71,5.11,2.68,0,0,0,0.00,0.00,0.00,5.82,6.02,4.64,0,0,0,0.00,0.00,0.00,6.25,896.75,24.88,9.27,808,62.11,65.46,9.15,1162,0,
2020/02/24 03:12:41,953.08,10.18,7.43,8.25,4.72,5.13,2.90,0,0,0,0.00,0.00,0.00,5.80,6.02,4.62,0,0,0,0.00,0.00,0.00,6.20,897.50,24.93,9.37,658,95.35,63.64,9.57,1161,0,
2020/02/24 03:17:43,952.93,9.96,7.47,8.25,4.72,5.35,2.90,0,0,0,0.00,0.00,0.00,5.72,6.01,4.61,0,0,0,0.00,0.00,0.00,6.15,898.13,24.98,9.11,659,186.45,66.00,9.03,1162,0,
2020/02/24 03:22:45,952.92,9.84,7.37,8.25,4.72,5.13,3.12,0,0,0,0.00,0.00,0.00,5.59,6.02,4.38,0,0,0,0.00,0.00,0.00,6.06,898.00,24.98,8.95,546,90.26,66.06,9.04,1163,0,
2020/02/24 03:27:47,952.95,9.90,7.30,8.25,4.69,5.57,3.11,0,0,0,0.00,0.00,0.00,5.50,5.79,4.41,0,0,0,0.00,0.00,0.00,5.97,900.25,25.10,8.98,477,202.09,64.32,9.14,1162,0,
2020/02/24 03:32:49,952.87,10.21,7.32,8.25,4.73,5.57,3.12,0,0,0,0.00,0.00,0.00,5.55,6.04,4.38,0,0,0,0.00,0.00,0.00,5.95,896.63,24.85,9.43,632,349.50,60.16,9.62,1162,0,
2020/02/24 03:37:51,952.61,10.41,7.47,8.25,4.71,5.59,2.90,0,0,0,0.00,0.00,0.00,5.62,6.02,4.63,0,0,0,0.00,0.00,0.00,5.99,897.25,24.89,9.40,612,96.52,62.58,9.44,1163,0,
2020/02/24 03:42:53,952.97,10.94,7.60,8.25,4.72,4.91,2.90,0,0,0,0.00,0.00,0.00,5.79,6.48,4.62,0,0,0,0.00,0.00,0.00,6.08,895.63,24.81,9.75,692,40.22,58.80,9.79,1162,0,
2020/02/24 03:47:55,952.90,11.24,7.82,8.50,4.73,5.13,3.12,0,0,0,0.00,0.00,0.00,5.99,6.96,4.44,0,0,0,0.00,0.00,0.00,6.25,894.88,24.76,9.94,650,87.14,57.39,10.02,1172,0,
2020/02/24 03:52:57,952.74,11.25,7.99,8.75,4.72,5.37,2.89,0,0,0,0.00,0.00,0.00,6.18,6.02,4.86,0,0,0,0.00,0.00,0.00,6.42,895.13,24.74,10.03,840,77.75,57.37,9.74,1164,0,
2020/02/24 03:57:59,952.97,11.28,8.05,8.75,4.73,4.93,3.13,0,0,0,0.00,0.00,0.00,6.31,6.04,4.64,0,0,0,0.00,0.00,0.00,6.56,893.63,24.63,10.03,727,5.02,56.62,9.91,1163,0,
2020/02/24 04:03:01,953.07,11.23,8.10,9.00,4.72,4.93,3.12,0,0,0,0.00,0.00,0.00,6.41,6.25,4.84,0,0,0,0.00,0.00,0.00,6.67,892.88,24.59,10.03,790,200.53,57.77,9.76,1167,0,
2020/02/24 04:08:03,953.01,11.01,8.10,9.00,4.73,4.93,3.14,0,0,0,0.00,0.00,0.00,6.50,6.04,4.60,0,0,0,0.00,0.00,0.00,6.74,892.88,24.59,9.81,821,266.22,58.56,9.69,1158,0,
2020/02/24 04:13:05,953.09,11.03,8.02,8.75,4.73,5.51,3.54,0,0,0,0.00,0.00,0.00,6.55,6.15,4.37,0,0,0,0.00,0.00,0.00,6.77,893.13,24.61,9.94,834,166.12,55.00,9.70,1162,0,
2020/02/24 04:18:07,953.26,11.25,8.05,8.75,4.73,5.31,2.91,0,0,0,0.00,0.00,0.00,6.64,6.30,4.40,0,0,0,0.00,0.00,0.00,6.83,893.75,24.63,10.03,876,228.68,54.16,9.65,1165,0,
