Time [UTC], Temp OB [C], Temp RTC [C], Bat [V], Distace [mm], Pressure Atmos [mBar], Humidity [%], Temp Atmos [C],
2019/03/09 19:42:25,5.06,6.75,4.41,1611,967.18,65.97,4.03,
2019/03/09 19:43:01,4.95,6.75,4.38,861,967.17,67.14,3.81,
2019/03/09 19:44:01,4.95,6.75,4.31,870,967.13,66.93,3.67,
2019/03/09 19:45:01,5.06,6.75,4.43,1608,967.28,66.64,3.73,
2019/03/09 19:46:01,5.06,6.75,4.43,1607,967.20,66.65,3.67,
2019/03/09 19:47:01,5.06,6.75,4.37,1608,967.10,67.13,3.87,
2019/03/09 19:48:01,5.06,6.75,4.43,1608,967.06,66.76,3.92,
2019/03/09 19:49:01,5.06,6.75,4.43,1608,967.03,66.92,3.92,
2019/03/09 19:50:01,5.06,6.75,4.37,1608,966.97,65.54,4.10,
2019/03/09 19:51:01,4.95,6.75,4.39,1610,967.04,66.84,4.25,
2019/03/09 19:52:01,5.06,6.50,4.37,-500,966.99,64.79,4.16,
2019/03/09 19:53:01,5.06,6.50,4.43,1613,966.98,64.56,4.32,
2019/03/09 19:54:01,4.95,6.75,4.32,1612,966.88,66.05,4.16,
2019/03/09 19:55:01,5.06,6.75,4.44,1611,966.82,64.90,4.33,
2019/03/09 19:56:01,5.06,6.50,4.44,1611,966.95,65.50,3.99,
2019/03/09 19:57:01,4.95,6.75,4.39,1612,966.82,65.30,4.11,
2019/03/09 19:58:01,4.95,6.75,4.40,1611,966.82,65.72,3.80,
2019/03/09 19:59:01,4.95,6.50,4.40,1611,966.78,65.89,3.79,
2019/03/09 20:00:01,4.84,6.50,4.32,1612,966.78,66.50,3.84,
2019/03/09 20:01:01,4.84,6.50,4.41,1612,966.75,65.81,4.00,
2019/03/09 20:02:01,4.84,6.50,4.40,1611,966.74,65.63,3.95,
2019/03/09 20:03:01,4.84,6.25,4.33,1611,966.75,66.25,3.70,
2019/03/09 20:04:01,4.61,6.25,4.44,1611,966.71,67.02,3.69,
2019/03/09 20:05:01,4.61,6.25,4.38,1611,966.72,68.23,3.68,
2019/03/09 20:06:01,4.61,6.25,4.38,1612,966.61,67.53,3.95,
2019/03/09 20:07:01,4.50,6.25,4.25,1612,966.57,66.84,3.95,
2019/03/09 20:08:01,4.50,6.25,4.25,1612,966.50,67.46,3.83,
2019/03/09 20:09:01,4.38,6.00,4.51,1612,966.46,66.25,3.85,
2019/03/09 20:10:01,4.38,6.00,4.31,1612,966.52,66.80,3.74,
2019/03/09 20:11:01,4.27,6.00,4.32,1612,966.39,67.73,3.77,
2019/03/09 20:12:01,4.27,6.00,4.39,1611,966.37,66.99,3.68,
2019/03/09 20:13:01,4.27,6.00,4.31,1612,966.33,67.79,3.62,
2019/03/09 20:14:01,4.16,5.75,4.49,1612,966.36,66.85,3.76,
2019/03/09 20:15:01,4.04,5.75,4.42,1611,966.35,66.57,3.59,
2019/03/09 20:16:01,4.04,5.75,4.34,1612,966.26,67.29,3.75,
2019/03/09 20:17:01,4.04,5.75,4.42,1612,966.26,67.07,3.86,
2019/03/09 20:18:01,3.93,5.75,4.52,1611,966.31,66.75,3.70,
2019/03/09 20:19:01,3.93,5.75,4.52,1612,966.22,66.30,3.65,
2019/03/09 20:20:01,3.93,5.50,4.48,1612,966.18,66.35,3.65,
2019/03/09 20:21:01,3.81,5.50,4.45,1611,966.33,66.78,3.64,
2019/03/09 20:22:01,3.81,5.50,4.45,1612,966.20,67.59,3.64,
2019/03/09 20:23:01,3.81,5.50,4.45,1612,966.22,66.80,3.77,
2019/03/09 20:24:01,3.70,5.50,4.25,1612,966.13,66.57,3.96,
2019/03/09 20:25:01,3.70,5.50,4.34,1612,966.20,66.35,4.04,
2019/03/09 20:26:01,3.70,5.50,4.33,1612,966.16,66.34,3.76,
2019/03/09 20:27:01,3.70,5.50,4.34,1611,966.09,67.09,3.60,
2019/03/09 20:28:01,3.70,5.50,4.26,1611,966.07,67.91,3.55,
2019/03/09 20:29:01,3.70,5.50,4.33,1612,966.07,67.39,3.67,
2019/03/09 20:30:01,3.58,5.25,4.40,1612,966.03,67.48,3.81,
2019/03/09 20:31:01,3.58,5.25,4.34,1613,965.92,67.40,3.90,
